采集时间,数据条数,工作电压,平均风速,风向,降雨量,平均温度,湿度,气压,总辐射,总辐射累计量,日照时数,土壤水分,土壤温度,土壤介电常数,土壤电导率,土壤水分,土壤温度,土壤介电常数,土壤电导率,土壤水分,土壤温度,土壤介电常数,土壤电导率
2019/10/27 0:00,976,12.82835,2.656,279.7,0,13.13,60.14,1005,-1.518,-0.003,0.5,35.09999,14.795,21.07,0.6,26.00167,15.7,14.09833,0.4,17.97167,16.48167,9.261666,0.3
2019/10/27 0:30,977,12.81913,2.224,279.4,0,12.81,60.79,1005,-2.008,-0.004,0.5,35.09999,14.70667,21.07833,0.6,26.00167,15.7,14.09833,0.4,17.93167,16.46167,9.24,0.3
2019/10/27 1:00,978,12.80973,2.189,288.6,0,12.66,60.75,1005,-1.1,-0.002,0.5,35.10167,14.65,21.06,0.6,25.99333,15.7,14.09333,0.4,17.955,16.44333,9.248333,0.3
2019/10/27 1:30,979,12.8025,1.761,299.7,0,12.96,59.82,1005,-2.065,-0.004,0.5,35.09999,14.59833,21.07166,0.6,25.99,15.7,14.09,0.4,17.95167,16.445,9.244999,0.3
2019/10/27 2:00,980,12.79403,1.552,295.8,0,12.59,61.1,1005,-2.377,-0.004,0.5,35.09999,14.50167,21.06,0.6,25.985,15.7,14.085,0.4,17.935,16.43333,9.24,0.3
2019/10/27 2:30,981,12.78433,1.429,277,0,11.66,65.58,1004,-1.769,-0.003,0.5,35.10167,14.40333,21.05667,0.6,25.98333,15.7,14.08333,0.4,17.96833,16.41833,9.259999,0.3
2019/10/27 3:00,982,12.77588,3.195,283.7,0,11.91,64.18,1004,-1.48,-0.003,0.5,35.09833,14.36333,21.05333,0.6,25.98,15.7,14.08,0.4,17.97333,16.40833,9.259999,0.3
2019/10/27 3:30,983,12.76571,4.153,284.7,0,12.28,61.74,1004,-1.657,-0.003,0.5,35.09666,14.3,21.055,0.6,25.97833,15.69833,14.07833,0.4,17.98667,16.40833,9.27,0.3
2019/10/27 4:00,984,12.75465,3.958,274.3,0,12.17,61.34,1004,-2.005,-0.004,0.5,35.09833,14.23167,21.055,0.6,25.97833,15.7,14.07833,0.4,17.98667,16.4,9.273333,0.3
2019/10/27 4:30,985,12.74077,4.11,282.4,0,12.23,60.66,1004,-1.636,-0.003,0.5,35.09999,14.19333,21.05667,0.6,25.98,15.685,14.08,0.4,18.02167,16.4,9.281666,0.3
